f_weight f_lept1_pt f_lept1_eta f_lept1_phi f_lept2_pt f_lept2_eta f_lept2_phi f_lept3_pt f_lept3_eta f_lept3_phi f_lept4_pt f_lept4_eta f_lept4_phi f_jet1_pt f_jet1_eta f_jet1_phi f_jet2_pt f_jet2_eta f_jet2_phi 
1.0 43.922706604 -0.080906547606 2.21141982079 37.0977401733 -1.55162775517 -0.403421401978 31.0516719818 1.01872372627 -1.87805509567 13.7005147934 0.819547951221 0.34432798624 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 53.8256950378 -0.826069176197 1.23017907143 39.9965591431 -0.188152641058 -2.71212244034 22.320728302 -1.24494802952 0.42571246624 36.5528488159 0.749646008015 -1.51865494251 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 22.8321247101 -1.81892800331 2.63495802879 31.6954059601 -1.06251633167 -0.378890872002 12.9548454285 -1.81337475777 -2.0647559166 17.6543331146 -0.409386456013 1.95890557766 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 39.6732711792 -2.38941311836 -1.7012001276 48.9457206726 -1.77672767639 1.35443472862 39.0406723022 -1.65319144726 -0.758417546749 56.9267997742 -1.60970520973 3.01544690132 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 79.5566940308 -0.609854221344 0.119390033185 15.4602565765 1.06725108624 -2.30561375618 46.2680053711 1.97741746902 -1.88232922554 34.3109893799 0.328786045313 3.08576989174 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 58.0414161682 -0.208720520139 -1.97227060795 44.5258674622 -0.0929883643985 0.273247301579 63.3839569092 -0.465538173914 2.28522729874 26.8733158112 0.606319606304 -1.15387427807 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 40.3038864136 -0.762901961803 0.480402618647 144.457580566 -0.480233669281 1.84115564823 58.6720352173 -0.0558919645846 -0.54853874445 29.1866436005 0.880167961121 -2.36443352699 49.9576644897 -0.141364842653 -1.20907127857 -999.0 -999.0 -999.0 
1.0 11.964302063 -1.89113593102 1.17403531075 72.4565124512 0.117295667529 -1.93972659111 43.5850410461 -0.46431234479 -0.770099818707 54.9188575745 0.0203663744032 1.58359730244 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 42.613697052 1.52749049664 -0.947384893894 51.4312324524 0.859077572823 1.34863209724 14.5015058517 -1.37640297413 2.14877700806 47.8533439636 1.23748016357 1.09414088726 60.5568847656 -0.49860933423 -2.98988842964 -999.0 -999.0 -999.0 
1.0 38.3122062683 -2.05247998238 -1.15308833122 30.35181427 -2.22710037231 1.34779167175 7.94397974014 -1.86821699142 -0.866292417049 17.4589653015 -2.05544996262 2.80698633194 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 11.1196498871 -2.19528722763 1.32289373875 32.930721283 -0.0066511281766 -1.55176997185 10.023853302 -0.313327848911 -1.2559094429 13.8988323212 0.331743389368 0.0979998707771 31.6791629791 -2.78384160995 2.65935063362 -999.0 -999.0 -999.0 
1.0 50.0028152466 -1.29736030102 -1.58297646046 43.6098365784 -1.77819657326 0.936160981655 53.4144515991 0.645421981812 -2.519343853 19.9097576141 -0.297917991877 0.0307068135589 45.0005493164 2.58874678612 -1.3295096159 34.4697036743 -0.386463046074 1.80370461941 
1.0 102.03440094 0.824943482876 0.738462924957 40.1780891418 0.876303911209 2.30386805534 68.7013168335 0.423879534006 -1.52228355408 24.5785560608 0.222492098808 -1.73768043518 40.6597099304 2.62893795967 -3.03156590462 -999.0 -999.0 -999.0 
1.0 41.2761688232 2.09676790237 -1.44628047943 110.158035278 1.038615942 -2.19521975517 92.8134841919 0.12130433321 1.81742942333 52.8164291382 -0.166998237371 0.532159864902 33.2863922119 0.594597280025 -0.453820466995 -999.0 -999.0 -999.0 
